frameIndex;frameTime;pcm_LOGenergy
111;1.112517;-1.174559e+01
112;1.122540;-1.202008e+01
113;1.132562;-1.288729e+01
114;1.142585;-1.280974e+01
115;1.152608;-1.265787e+01
116;1.162630;-1.279554e+01
117;1.172653;-1.283441e+01
118;1.182676;-1.290518e+01
119;1.192698;-1.343003e+01
120;1.202721;-1.220565e+01
121;1.212744;-1.198762e+01
122;1.222766;-1.214195e+01
123;1.232789;-1.212183e+01
124;1.242812;-1.209716e+01
125;1.252834;-1.225703e+01
126;1.262857;-1.249891e+01
127;1.272880;-1.198868e+01
128;1.282902;-1.206110e+01
129;1.292925;-1.264506e+01
130;1.302948;-1.293914e+01
131;1.312971;-1.286177e+01
132;1.322993;-1.279019e+01
133;1.333016;-1.267511e+01
134;1.343039;-1.268717e+01
135;1.353061;-1.277945e+01
136;1.363084;-1.273933e+01
137;1.373107;-1.320725e+01
138;1.383129;-1.247908e+01
139;1.393152;-1.188101e+01
140;1.403175;-1.188279e+01
141;1.413197;-1.237226e+01
142;1.423220;-1.260078e+01
143;1.433243;-1.290372e+01
144;1.443265;-1.273111e+01
145;1.453288;-1.260357e+01
146;1.463311;-1.223136e+01
147;1.473333;-1.244959e+01
148;1.483356;-1.235015e+01
149;1.493379;-1.221122e+01
150;1.503401;-1.214962e+01
151;1.513424;-1.240388e+01
152;1.523447;-1.220172e+01
153;1.533469;-1.218976e+01
154;1.543492;-1.231844e+01
155;1.553515;-1.243759e+01
156;1.563537;-1.290112e+01
157;1.573560;-1.229175e+01
158;1.583583;-1.166142e+01
159;1.593605;-1.194944e+01
160;1.603628;-1.203415e+01
161;1.613651;-1.202281e+01
162;1.623673;-1.204332e+01
163;1.633696;-1.245477e+01
164;1.643719;-1.296568e+01
165;1.653741;-1.280814e+01
166;1.663764;-1.206392e+01
167;1.673787;-1.214317e+01
168;1.683810;-1.254517e+01
169;1.693832;-1.268089e+01
170;1.703855;-1.308991e+01
171;1.713878;-1.325877e+01
172;1.723900;-1.303042e+01
173;1.733923;-1.326944e+01
174;1.743946;-1.401629e+01
175;1.753968;-1.350885e+01
176;1.763991;-1.348103e+01
177;1.774014;-1.363375e+01
178;1.784036;-1.339676e+01
179;1.794059;-1.331046e+01
180;1.804082;-1.287375e+01
181;1.814104;-1.282441e+01
182;1.824127;-1.306314e+01
183;1.834150;-1.356781e+01
184;1.844172;-1.326173e+01
185;1.854195;-1.301352e+01
186;1.864218;-1.289324e+01
187;1.874240;-1.348774e+01
188;1.884263;-1.347749e+01
189;1.894286;-1.351292e+01
190;1.904308;-1.295729e+01
191;1.914331;-1.268231e+01
192;1.924354;-1.296657e+01
193;1.934376;-1.277006e+01
194;1.944399;-1.281262e+01
195;1.954422;-1.292573e+01
196;1.964444;-1.311391e+01
197;1.974467;-1.233047e+01
198;1.984490;-1.243112e+01
199;1.994512;-1.270419e+01
200;2.004535;-1.360567e+01
201;2.014558;-1.361322e+01
202;2.024580;-1.366079e+01
203;2.034603;-1.337912e+01
204;2.044626;-1.309511e+01
205;2.054649;-1.292350e+01
206;2.064671;-1.330629e+01
207;2.074694;-1.328994e+01
208;2.084717;-1.292130e+01
209;2.094739;-1.284074e+01
210;2.104762;-1.280894e+01
211;2.114785;-1.286776e+01
212;2.124807;-1.278411e+01
213;2.134830;-1.331563e+01
214;2.144853;-1.368980e+01
215;2.154875;-1.363112e+01
216;2.164898;-1.362209e+01
217;2.174921;-1.331740e+01
218;2.184943;-1.314190e+01
219;2.194966;-1.357724e+01
220;2.204989;-1.337876e+01
221;2.215011;-1.315908e+01
222;2.225034;-1.295397e+01
223;2.235057;-1.298147e+01
224;2.245079;-1.275844e+01
225;2.255102;-1.296836e+01
226;2.265125;-1.300060e+01
227;2.275147;-1.257786e+01
228;2.285170;-1.233976e+01
229;2.295193;-1.240717e+01
230;2.305215;-1.322952e+01
231;2.315238;-1.343482e+01
232;2.325261;-1.308541e+01
233;2.335283;-1.337950e+01
234;2.345306;-1.338414e+01
235;2.355329;-1.286757e+01
236;2.365351;-1.261835e+01
237;2.375374;-1.239397e+01
238;2.385397;-1.254276e+01
239;2.395420;-1.287558e+01
240;2.405442;-1.283643e+01
241;2.415465;-1.246409e+01
242;2.425488;-1.212959e+01
243;2.435510;-1.113285e+01
244;2.445533;-1.051218e+01
245;2.455556;-9.805469e+00
246;2.465578;-9.742489e+00
247;2.475601;-9.234627e+00
248;2.485624;-9.480530e+00
